name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two
Twins,0,0,3.8,139,Kammanahalli,"Casual Dining, Bar","North Indian, Chinese, Continental",500.0
Tiffin Room - Miraya Hotel & Residences,0,1,3.7,138,Whitefield,Fine Dining,"North Indian, South Indian, Asian",2000.0
Behrouz Biryani,1,0,4.0,138,Bannerghatta Road,Delivery,Biryani,650.0
Rock Stone Ice Cream Factory,1,0,4.0,138,BTM,Dessert Parlor,Ice Cream,250.0
Faasos,1,0,4.0,138,Hosur Road,Delivery,"North Indian, Biryani, Fast Food",500.0
Rolls On Wheels,0,0,3.1,138,JP Nagar,Quick Bites,"Fast Food, Rolls, Momos",300.0
Feast India Co.,1,0,4.2,138,Cunningham Road,Casual Dining,"Awadhi, Bengali, North Indian",1500.0
Mighty Paws,1,0,4.0,138,Sarjapur Road,Cafe,Cafe,500.0
Indori Chatorey,1,0,2.8,138,BTM,Quick Bites,"North Indian, Street Food",300.0
Kebarbiq,0,0,4.0,138,Koramangala 7th Block,Casual Dining,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800.0
The French Loaf,1,0,3.5,138,Indiranagar,"Bakery, Quick Bites","Bakery, Desserts, Sandwich",400.0
Sagar Fast Food,1,0,4.0,138,Koramangala 8th Block,Quick Bites,"South Indian, North Indian, Street Food, Chinese",250.0
One For The Road,1,1,4.1,137,Whitefield,Bar,"Continental, North Indian, Finger Food",1200.0
Havelli - Chairman's Resort,1,1,3.5,137,Sahakara Nagar,"Casual Dining, Bar","North Indian, Continental, Chinese, Seafood",1250.0
Sri Vishnu Grand,1,0,3.8,137,Sarjapur Road,Casual Dining,"South Indian, North Indian, Chinese",400.0
Asha Food Camp,0,1,4.0,137,Rajajinagar,Casual Dining,"Desserts, North Indian, Chinese",700.0
Hyderabad Biryaani Home,1,0,3.0,137,South Bangalore,Takeaway,"North Indian, Hyderabadi, Chinese",650.0
Just Shawarma,1,0,3.6,137,Bannerghatta Road,Quick Bites,Arabian,300.0
The Krishna Grand Xpress,1,0,4.0,137,Jayanagar,Quick Bites,"South Indian, Fast Food",350.0
Maa Di Hatti,1,0,2.8,137,Koramangala 1st Block,Quick Bites,North Indian,500.0
Mahjong Room - WelcomHotel Bengaluru,0,1,4.4,136,Richmond Road,Casual Dining,Chinese,1200.0
Andal Mess,1,0,3.2,136,Indiranagar,Mess,"South Indian, North Indian",300.0
The Little Chef,0,0,3.5,136,HSR,Casual Dining,"North Indian, Chinese",600.0
New Kabab Plaza,1,0,3.7,136,BTM,Casual Dining,"North Indian, Chinese",500.0
Four Seasons Fast Food Center,1,0,3.7,136,Malleshwaram,Quick Bites,"North Indian, Chinese, Biryani",400.0
Hyderabadi Bawarchi,1,0,3.2,136,Bannerghatta Road,Casual Dining,"North Indian, Chinese, Biryani",500.0
Khan Saheb Grills And Rolls,1,0,3.2,136,Sarjapur Road,Quick Bites,"Biryani, Fast Food, Rolls",400.0
Biryani Paradise,1,0,3.8,136,Whitefield,Casual Dining,"Andhra, Biryani",700.0
Ambur Biriyani Classic,1,0,3.3,136,Electronic City,Casual Dining,"Biryani, South Indian, North Indian",700.0
McDonald's,1,0,2.9,136,Basaveshwara Nagar,Quick Bites,"Burger, Fast Food",500.0
Savi Sagar,1,0,3.8,136,Malleshwaram,Casual Dining,"North Indian, South Indian, Chinese, Street Food, Beverages",450.0
Sidewalk Cafe - Nahar's Heritage Hotel,0,0,3.9,136,St. Marks Road,Casual Dining,"Italian, Fast Food",800.0
Chicken County,0,0,3.8,136,Majestic,Casual Dining,"North Indian, Chinese",650.0
Chef Baker's,1,0,3.6,136,Bellandur,"Bakery, Quick Bites","Bakery, Fast Food, Pizza, Burger, Cafe",600.0
Akshara,1,0,4.0,136,Marathahalli,Casual Dining,"South Indian, Kerala, Andhra",1000.0
Subway,1,0,3.7,136,Banashankari,Quick Bites,"Salad, Fast Food",600.0
Pepperwood,1,0,3.7,136,Sarjapur Road,Quick Bites,"Biryani, Rolls",300.0
Chai Point,1,0,4.0,135,Residency Road,"Beverage Shop, Quick Bites","Fast Food, Beverages",250.0
Nakkala's Food Hunt,1,0,2.4,135,Marathahalli,Casual Dining,"North Indian, Chinese",600.0
Patiala Lassi,1,0,4.1,135,Sanjay Nagar,Beverage Shop,Beverages,150.0
Magic Oven,0,0,4.0,135,Electronic City,"Cafe, Dessert Parlor","Cafe, Desserts",400.0
SS Bucket Biryani,0,0,3.9,135,Frazer Town,Casual Dining,"Biryani, North Indian, Chinese",600.0
Global Flavors,1,1,3.5,135,Banaswadi,Casual Dining,"North Indian, Fast Food, Beverages",1000.0
Chung Wah,1,0,3.9,135,Sadashiv Nagar,Casual Dining,"Chinese, Thai, Momos, Vietnamese",700.0
@ Biryani Central,1,0,2.7,135,Marathahalli,Casual Dining,"Biryani, Mughlai, Chinese",550.0
Kollapuri's,0,0,3.6,135,Jayanagar,Casual Dining,Maharashtrian,600.0
Bengaluru Cafe,0,0,4.5,135,Jayanagar,Quick Bites,South Indian,150.0
Pavithra Restaurant,0,0,3.2,135,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",300.0
Khan Saheb Grills and Rolls,1,0,3.9,135,Jayanagar,Quick Bites,"Fast Food, Rolls",350.0
Tempteys,1,0,4.1,135,Indiranagar,"Dessert Parlor, Beverage Shop","Desserts, Beverages",300.0
Mother's Meal,1,0,3.8,134,CV Raman Nagar,Quick Bites,North Indian,200.0
Pooja Dosa Camp,0,0,4.0,134,Banaswadi,Quick Bites,South Indian,200.0
Chinese Street,1,0,3.1,134,Whitefield,Casual Dining,Chinese,650.0
Baluchi - The Lalit Ashok Bangalore,0,1,4.0,134,Seshadripuram,Fine Dining,"North Indian, Kashmiri, Mughlai",3700.0
Little Onnion,1,0,3.8,134,"ITPL Main Road, Whitefield",Casual Dining,"Biryani, Andhra",500.0
Dream a Dozen,1,0,4.3,134,JP Nagar,Delivery,"Bakery, Desserts",300.0
Beach Hut,0,0,3.5,134,JP Nagar,Casual Dining,"North Indian, Chinese",650.0
JS Food Court,1,0,3.8,134,Kammanahalli,Quick Bites,"Fast Food, Juices",400.0
Ruchie Rich,0,0,3.5,134,Electronic City,Quick Bites,"Biryani, Fast Food, North Indian",200.0
Chai Days,1,0,4.5,134,Indiranagar,Cafe,"Cafe, Tea, Beverages, Fast Food",200.0
Swad Punjab Da,1,0,4.1,134,BTM,Quick Bites,North Indian,150.0
Rolls On Wheels,0,0,3.5,134,Sarjapur Road,Quick Bites,"Fast Food, Rolls, Momos",300.0
Abbabi Chicken,0,0,3.7,134,Bellandur,Quick Bites,Fast Food,200.0
Ujwal Restaurant,1,0,3.9,134,Vasanth Nagar,Casual Dining,"Seafood, North Indian, Chinese",550.0
Dhaba Bytes,1,0,4.1,134,HSR,Casual Dining,North Indian,650.0
Melting Spot,0,0,4.0,134,Indiranagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages, Italian",600.0
Sandwichwallas,1,0,4.0,133,Basavanagudi,Quick Bites,Fast Food,200.0
Biryani Feast,1,0,2.9,133,Marathahalli,Delivery,"Biryani, North Indian, Chinese",600.0
Bhukkhad Baba,1,0,3.7,133,JP Nagar,Quick Bites,"North Indian, Beverages",250.0
Rigan Hyderabadi Bawarchi,1,0,3.6,133,New BEL Road,Casual Dining,"Biryani, North Indian, Chinese",700.0
Saatvikk,0,0,2.8,133,Brigade Road,Casual Dining,"North Indian, South Indian, Continental",650.0
Catch-up-ino,1,0,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0
Messy Eats,0,0,3.9,133,New BEL Road,"Bakery, Dessert Parlor","Bakery, Desserts",500.0
Zephyr,0,0,3.9,133,Basavanagudi,Casual Dining,"Italian, Continental",650.0
Hotel New Karavali,1,0,3.8,133,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",300.0
Mukati Kitchen,1,0,3.7,133,Thippasandra,Quick Bites,"North Indian, Continental, Chinese, Italian",500.0
The Trundle,1,0,3.7,133,Jayanagar,Casual Dining,"Chinese, Thai, Continental, North Indian",700.0
Bun World,0,0,3.9,133,Malleshwaram,Bakery,"Bakery, Fast Food",250.0
Sabari Juice Junction,1,0,4.1,132,Jeevan Bhima Nagar,Beverage Shop,"Beverages, Sandwich",250.0
Vishal Sweets & Restaurant,0,0,3.7,132,Marathahalli,Quick Bites,"North Indian, Chinese, Oriya, Mithai",250.0
Bhagini,0,0,2.3,132,Bellandur,Casual Dining,"Andhra, South Indian, Chinese, North Indian",800.0
Aasife & Brothers Biriyani Centre,1,0,3.9,132,HSR,Casual Dining,"Biryani, North Indian, South Indian, Chinese",600.0
Roti Ghar Ki,1,0,4.0,132,Whitefield,Quick Bites,"North Indian, Chinese, Biryani",400.0
Fanoos,1,0,3.9,132,Frazer Town,Quick Bites,"Arabian, Rolls, North Indian, BBQ",400.0
Krispy Kreme,1,0,4.0,132,Whitefield,Dessert Parlor,"Desserts, Beverages",300.0
Kanti Sweets,1,0,4.0,132,New BEL Road,Quick Bites,"Mithai, Street Food",400.0
BTM Bawarchi Biryani,1,0,3.6,132,BTM,"Takeaway, Delivery","Biryani, North Indian, Chinese",600.0
Brownie Heaven,1,0,4.3,132,Indiranagar,Dessert Parlor,Desserts,300.0
Chai Point,1,0,3.6,132,Bannerghatta Road,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250.0
Pathaan Sir,1,0,3.8,132,Koramangala 7th Block,Quick Bites,"Rolls, Chinese",300.0
Cafe Potpourri,1,0,3.7,132,JP Nagar,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts",400.0
Jashn,1,0,3.7,132,Marathahalli,Casual Dining,North Indian,750.0
Pabrai's Fresh & Naturelle Icecreams,1,0,4.2,132,Brigade Road,Dessert Parlor,Ice Cream,180.0
Calcutta Victoria Chat House,1,0,2.8,132,Banaswadi,Quick Bites,"Fast Food, Street Food",200.0
Thai House,1,0,4.3,131,Brigade Road,Casual Dining,Thai,700.0
Tasty Treat,1,0,3.1,131,HSR,Quick Bites,"North Indian, Chinese, Biryani, Rolls",400.0
Foodies Express,1,0,3.7,131,Electronic City,Quick Bites,"Chinese, North Indian, Arabian, Biryani",400.0
Bangaliana,1,0,3.6,131,Marathahalli,Quick Bites,Bengali,600.0
Night Panda,0,0,3.4,131,Marathahalli,"Takeaway, Delivery","Fast Food, North Indian, Chinese",500.0
Ammi's Biryani,0,0,2.5,131,Whitefield,Quick Bites,"Biryani, North Indian",500.0
Anand Sweets and Savouries,0,0,4.1,131,Bannerghatta Road,Sweet Shop,"Mithai, Street Food",400.0
Chickpet Donne Biryani House,1,0,3.8,131,Banashankari,Quick Bites,Biryani,250.0
Meghana Grand,1,0,3.5,131,Whitefield,Casual Dining,"Biryani, Andhra",800.0
Mad Over Donuts,1,0,3.9,131,Malleshwaram,Food Court,"Bakery, Desserts, Beverages",450.0
Chai Point,1,0,3.9,131,Brookefield,"Beverage Shop, Quick Bites","Fast Food, Beverages",250.0
The Airos,1,0,,131,Jayanagar,Cafe,"Cafe, Italian, Pizza",650.0
Aastha Bengali Mess,1,0,3.9,131,Yeshwantpur,Quick Bites,"Chinese, Bengali",250.0
Srinidhi Sagar Food Line,1,0,3.7,131,Indiranagar,Quick Bites,"South Indian, North Indian, Chinese",250.0
Ooh La La,1,0,3.7,130,Whitefield,Delivery,"North Indian, Biryani",500.0
Angaar Indian Grill & Restaurant,0,0,3.9,130,HBR Layout,Casual Dining,"Arabian, Mughlai, North Indian, Chinese, Rolls",600.0
Hotel Salam,1,0,4.1,130,HSR,Quick Bites,"North Indian, Chinese, Biryani",400.0
The Daily,1,0,4.0,130,Electronic City,Quick Bites,"Rajasthani, North Indian",400.0
Keventers,1,0,3.9,130,New BEL Road,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400.0
The Grilled & Fried,1,0,3.3,130,Whitefield,Quick Bites,Fast Food,300.0
Parkview,0,0,4.0,130,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300.0
Kadala Tarangaa,1,0,3.6,130,Banashankari,Casual Dining,"Mangalorean, Seafood, North Indian",600.0
Amma's Pastries,0,0,3.9,130,HBR Layout,Bakery,Bakery,400.0
The Belgian Waffle Co.,1,0,4.1,130,HSR,Dessert Parlor,"Desserts, Beverages",350.0
Mane Thindi,0,0,3.7,130,Banashankari,Quick Bites,South Indian,200.0
Five Star Chicken,1,0,3.4,130,Banashankari,Quick Bites,"Roast Chicken, Burger",300.0
Tetto,1,0,3.7,130,Koramangala 1st Block,"Casual Dining, Bar",Continental,1200.0
Shreedevi,0,0,3.7,130,Indiranagar,Quick Bites,"North Indian, Andhra, Chinese",600.0
Funky Punjab,1,0,3.8,129,BTM,Quick Bites,"North Indian, Chinese",400.0
Biryani Durbar,1,0,3.7,129,Bannerghatta Road,"Takeaway, Delivery","Biryani, North Indian",400.0
Izakaya Gastro Pub,1,1,3.8,129,Whitefield,"Bar, Casual Dining","North Indian, Continental, Mediterranean",1200.0
Berrylicious Cafe,1,0,4.1,129,MG Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900.0
Donne Biriyani House,1,0,3.1,129,Sarjapur Road,Quick Bites,Biryani,300.0
Imperia Restaurant,1,0,2.5,129,Whitefield,Casual Dining,"North Indian, Chinese, Arabian, Biryani, Fast Food",500.0
Dialogues,0,0,4.0,129,JP Nagar,Cafe,"Cafe, Continental",600.0
Raenss Cafe,1,0,2.4,129,Indiranagar,Cafe,"Cafe, Fast Food, Chinese",600.0
Coorg Diaries,1,0,3.5,129,Kaggadasapura,Quick Bites,South Indian,400.0
Ibaco,1,0,4.0,129,Jayanagar,Dessert Parlor,Desserts,300.0
Andhra Mess,1,0,3.2,129,Domlur,Mess,"Andhra, Biryani, Chinese",400.0
Taipan,1,0,3.5,129,Frazer Town,Casual Dining,"Chinese, Momos",700.0
Eatapita,0,0,4.0,129,Kammanahalli,Quick Bites,"Arabian, Pizza, Greek, Lebanese, Mediterranean",600.0
Al-Bek,1,0,3.7,129,"Varthur Main Road, Whitefield","Takeaway, Delivery","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300.0
Smally's Resto Cafe,1,0,4.0,128,HSR,Cafe,"Cafe, Italian, Burger, American, Steak",650.0
Kalpavriksha Upahara,1,0,4.0,128,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400.0
Adukkala Restaurant,1,0,2.9,128,Banaswadi,Casual Dining,Kerala,600.0
Dwaraka Grand,1,0,3.9,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500.0
Blk Plus Wht,0,0,4.3,128,HSR,"Casual Dining, Cafe","Asian, Thai, North Indian",800.0
Park View Restaurant,0,0,3.8,128,Vijay Nagar,Casual Dining,"North Indian, Chinese, Continental",600.0
Holige Mane,1,0,4.2,128,Malleshwaram,Quick Bites,South Indian,100.0
New Biryani Mane,1,0,3.7,128,Uttarahalli,Casual Dining,"North Indian, Chinese, Biryani, South Indian",450.0
Le Cirque Signature - The Leela Palace,0,1,4.3,128,Old Airport Road,Fine Dining,"French, Italian",6000.0
Aroma Fine Dine,1,1,4.0,128,HSR,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",900.0
Rasoi,1,0,3.3,128,Banashankari,Quick Bites,"North Indian, Chinese",300.0
Beijing Bites,0,0,2.7,128,Banashankari,Casual Dining,"Chinese, Thai",850.0
Behrouz Biryani,1,0,4.2,128,Vasanth Nagar,Delivery,Biryani,650.0
The Ganache Factory,0,0,4.2,128,Jayanagar,Delivery,"Desserts, Bakery",400.0
Marwari Basa,1,0,3.8,128,Nagawara,Quick Bites,"Rajasthani, North Indian",300.0
3 Leafs,1,0,3.7,128,Kaggadasapura,Casual Dining,"North Indian, South Indian, Chinese",600.0
Moonlight Kitchens,1,0,3.9,128,Old Airport Road,Delivery,"North Indian, Chinese",400.0
Pabrai's Fresh & Naturelle Icecreams,1,0,3.9,128,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts",200.0
Cafe Daily Bread,0,0,3.7,128,Bellandur,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600.0
Rolls On Wheels,0,0,2.8,127,BTM,Quick Bites,"Fast Food, Rolls, Momos",300.0
Chinese Chaska,1,0,3.1,127,Whitefield,Casual Dining,"Chinese, North Indian, Biryani",550.0
Flying Cakes,1,0,3.1,127,Electronic City,Bakery,"Bakery, Desserts",500.0
Mid Night Hunting,1,0,3.7,127,Ejipura,"Takeaway, Delivery","Fast Food, Italian",300.0
Skytouch Le Cafe,1,0,3.7,127,JP Nagar,Cafe,"Cafe, Italian, Desserts",700.0
BTM Ghar ka Khana,0,0,3.7,127,BTM,Quick Bites,North Indian,200.0
Aapni Rasoi,1,0,3.2,127,Bellandur,Quick Bites,North Indian,400.0
Kerala Mess Upahar,1,0,3.8,126,Bellandur,Mess,"Kerala, Biryani, South Indian",300.0
Brahmins' Thatte Idli,1,0,3.9,126,Rajajinagar,Quick Bites,South Indian,100.0
Cakesta,1,0,4.1,126,"ITPL Main Road, Whitefield",Bakery,"Bakery, Desserts",500.0
The Spice Saga,1,0,3.7,126,Kumaraswamy Layout,Casual Dining,"Biryani, North Indian, Chinese, Seafood",750.0
Sandesh Sweets & Chats,0,0,2.9,126,Electronic City,Quick Bites,"South Indian, Street Food, Beverages",350.0
DeliToons,0,0,4.0,126,Koramangala 6th Block,Quick Bites,"Sandwich, Pizza, Salad",300.0
The Bengaluru Brasserie - Hyatt Centric MG Road,0,1,4.1,126,Ulsoor,Casual Dining,"Continental, Asian, North Indian, South Indian",2000.0
Puff Cafe,1,0,3.7,126,New BEL Road,Cafe,"Cafe, Italian, American",700.0
Nightfork,0,0,3.7,126,Koramangala 6th Block,Delivery,"Chinese, Biryani, Pizza, Italian, North Indian",500.0
The Spice Pavillion,1,0,3.7,126,Marathahalli,Casual Dining,North Indian,600.0
Hotel Shangrila,0,0,3.7,125,Brigade Road,Casual Dining,"Chinese, Thai, Momos",600.0
New Punjabi Hotel,0,0,3.7,125,Indiranagar,Quick Bites,"North Indian, Chinese",300.0
Not Just Waffles,1,0,4.2,125,Brookefield,Dessert Parlor,"Desserts, Ice Cream",400.0
WOW! Momo,1,0,3.6,125,Brigade Road,"Food Court, Quick Bites","Tibetan, Momos",400.0
Vaho Kafe & Pressery,0,0,3.9,125,Bannerghatta Road,Cafe,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500.0
Tumbites,1,0,3.9,125,Bellandur,Quick Bites,North Indian,200.0
Drunken Monkey,1,0,3.7,125,JP Nagar,"Beverage Shop, Quick Bites","Beverages, Fast Food",400.0
Kanti Sweets,1,0,4.0,125,Indiranagar,"Dessert Parlor, Quick Bites","Mithai, Street Food",400.0
Kitchens@Mahadevpura,1,0,3.9,125,Whitefield,Delivery,"Italian, North Indian, South Indian, Chinese",600.0
Sarvam,1,0,3.5,125,HSR,Casual Dining,"South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",550.0
Peace Restaurant,1,0,2.6,125,Indiranagar,Quick Bites,"Chinese, Tibetan",500.0
Chez Nous - Novotel,0,1,3.9,125,Marathahalli,Lounge,"European, French, North Indian",2500.0
Driven Cafe,1,0,3.6,124,Residency Road,Cafe,"Cafe, Beverages, Fast Food",600.0
Roll N Rock,1,0,3.9,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0
Ice Thunder,0,0,3.8,124,Basavanagudi,Quick Bites,"South Indian, Fast Food, North Indian, Desserts",300.0
Drunken Monkey,0,0,4.0,124,Church Street,"Beverage Shop, Quick Bites","Beverages, Fast Food",500.0
Chantilly,1,0,4.1,124,Indiranagar,"Cafe, Bakery","Cafe, Bakery",450.0
Chef Baker's,1,0,3.8,124,Whitefield,"Bakery, Cafe","Bakery, Desserts, Cafe, Italian, Pizza",400.0
Ramji Chaiwale,1,0,3.9,124,Old Airport Road,Quick Bites,"Beverages, Fast Food",250.0
The ThickShake Factory,0,0,4.0,124,Indiranagar,Beverage Shop,"Beverages, Juices",350.0
Paradox Rest-O-Cafe,1,0,3.7,124,Kalyan Nagar,Casual Dining,"Continental, Steak",600.0
CakeZone,0,0,3.9,124,Koramangala 4th Block,Bakery,"Bakery, Desserts",500.0
Asha Sweets Centre,1,0,4.3,124,Malleshwaram,Sweet Shop,"Mithai, Street Food",250.0
Tango Bango,1,0,3.5,124,Jeevan Bhima Nagar,"Takeaway, Delivery","Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",500.0
Momo Shop,1,0,4.0,124,RT Nagar,Quick Bites,"Momos, Street Food, Rolls",200.0
California Burrito,0,0,4.2,124,Malleshwaram,Food Court,"Mexican, Fast Food",400.0
Roy Hotel & Restaurant,1,0,4.0,124,New BEL Road,Quick Bites,"Bengali, North Indian",300.0
Absolute Shawarma,1,0,3.8,123,Marathahalli,"Takeaway, Delivery",Lebanese,150.0
California Burrito,0,0,3.9,123,Whitefield,"Food Court, Quick Bites","Mexican, Fast Food",400.0
South Parade - The Chancery Hotel,0,0,3.1,123,Lavelle Road,"Casual Dining, Bar","North Indian, Continental, Chinese",1200.0
New Prashanth Hotel,1,0,3.2,123,Basaveshwara Nagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0
McDonald's Play Place,1,0,3.7,123,Electronic City,Quick Bites,"Burger, Fast Food",500.0
Hunan King's,1,0,2.9,123,Sahakara Nagar,Casual Dining,"Chinese, Thai, Momos",800.0
B1,1,1,3.9,123,New BEL Road,Pub,"Continental, Burger, Italian, Pizza, North Indian, Salad",1100.0
The Waffle Press,1,0,4.2,123,St. Marks Road,Dessert Parlor,"Desserts, Ice Cream",400.0
Foodzoo,1,0,3.6,123,HSR,Quick Bites,"North Indian, Chinese, Street Food",300.0
Aroma Spice,1,1,3.9,123,Kalyan Nagar,Casual Dining,"Andhra, Chinese, North Indian, Seafood",800.0
Just Bake,1,0,3.8,123,Koramangala 5th Block,Bakery,"Bakery, Desserts",400.0
Ruchi's Corner,1,0,2.7,123,Banashankari,Quick Bites,Fast Food,200.0
Sai Foods,0,0,4.1,123,Marathahalli,Quick Bites,North Indian,200.0
Tawa Sagara,1,0,3.8,122,Jayanagar,Casual Dining,"Mangalorean, Seafood",700.0
Southern Spice,1,0,4.0,122,"Varthur Main Road, Whitefield",Casual Dining,"North Indian, Chinese, Biryani, Andhra",800.0
Ovenstory Pizza,1,0,3.8,122,Bommanahalli,Delivery,Pizza,750.0
Mani's Dum Biryani,1,0,3.5,122,Kalyan Nagar,Casual Dining,"Biryani, Andhra",750.0
Rolls On Wheels,0,0,3.2,122,Indiranagar,Quick Bites,"Fast Food, Rolls, Momos",200.0
Punjab Zone,1,0,2.8,122,Bellandur,Quick Bites,North Indian,400.0
Sangam Sweets,1,0,4.0,122,Majestic,Quick Bites,"Mithai, Street Food",200.0
Tempura Restaurant,0,0,3.9,122,Brigade Road,Casual Dining,"Japanese, Chinese, Tibetan, Momos",500.0
Le Spice Restaurant,1,0,3.4,122,Banaswadi,Casual Dining,"Arabian, Kerala, North Indian, Chinese, Beverages",700.0
Bun Maska Chai,1,0,3.9,122,Jeevan Bhima Nagar,Quick Bites,"Street Food, Fast Food",250.0
Lazio Steaks & More,1,0,4.0,122,Frazer Town,Casual Dining,"Continental, Chinese, Steak",1000.0
Domino's Pizza,1,0,3.8,122,MG Road,Quick Bites,"Pizza, Fast Food",400.0
Chow San,1,0,3.0,122,Bannerghatta Road,Casual Dining,"Chinese, Thai, Momos",500.0
New Taj,1,0,3.2,122,Ulsoor,Quick Bites,"North Indian, Chinese",300.0
Desi Flavours,1,0,3.9,121,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Biryani",400.0
Healthie,1,0,3.9,121,Whitefield,Delivery,"Healthy Food, Beverages",600.0
eat.fit,1,1,4.1,121,Church Street,Quick Bites,"Healthy Food, North Indian, Biryani, Continental, Desserts",300.0
Hotel New Panchavati,1,0,3.6,121,Vijay Nagar,Casual Dining,"North Indian, Chinese, Biryani, South Indian",600.0
Eshmeet Da Dhaba,1,0,3.1,121,Koramangala 6th Block,Casual Dining,"North Indian, Chinese",500.0
The Pancake Story,1,0,4.6,121,Koramangala 1st Block,Dessert Parlor,"Desserts, Beverages",300.0
The Mylapore Cafe,1,0,4.1,121,HSR,Quick Bites,"South Indian, Kerala",200.0
SGS Non Veg - Gundu Pulav,1,0,3.9,121,Bannerghatta Road,Quick Bites,"Biryani, South Indian",300.0
Bangalore Bytes,1,0,3.5,121,Brigade Road,Quick Bites,"Fast Food, South Indian, Biryani",300.0
EatWater,1,0,4.2,121,Lavelle Road,"Casual Dining, Bar",North Eastern,1000.0
Dock Frost'd,1,0,4.6,121,Marathahalli,"Beverage Shop, Dessert Parlor","Beverages, Desserts",400.0
The Higher Taste Stores,1,0,3.8,121,Malleshwaram,"Quick Bites, Bakery","Fast Food, Bakery",300.0
Kamat's Palate Korner,0,0,4.1,121,Richmond Road,Casual Dining,"North Indian, Chinese",600.0
Happy Belly Bakes,1,0,4.2,121,MG Road,"Cafe, Bakery","Cafe, Bakery",500.0
Risalo Pizzeria,1,0,4.0,121,Brookefield,Quick Bites,"Pizza, Italian, Desserts",900.0
Ande Ka Funda,1,0,3.9,121,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250.0
Amma's Pastries,0,0,4.0,120,Thippasandra,Dessert Parlor,"Bakery, Desserts",400.0
Bhagini,1,0,2.3,120,Banaswadi,"Casual Dining, Bar","Andhra, South Indian, Chinese, North Indian",800.0
Drunken Monkey,1,0,4.0,120,HSR,"Beverage Shop, Quick Bites","Beverages, Fast Food",500.0
Status,1,0,3.6,120,Old Airport Road,Casual Dining,"Chinese, North Indian",550.0
Rolls Mania,1,0,3.8,120,Whitefield,Quick Bites,"Rolls, Fast Food",450.0
Nayi Dilli by Anand Sweets,0,1,4.0,120,Sarjapur Road,Casual Dining,"North Indian, Chinese",1000.0
Ovenstory Pizza,1,0,4.0,120,Sahakara Nagar,Delivery,Pizza,800.0
Anu Momos Chinese Kitchen,1,0,3.7,120,Kammanahalli,Quick Bites,"Chinese, Thai, Momos",450.0
South House,1,0,4.2,120,Brookefield,Casual Dining,"South Indian, Biryani",800.0
Yum In My Tum,1,0,4.2,120,BTM,Quick Bites,"Chinese, Continental, Fast Food, Healthy Food",300.0
The Hub & The Bar - Hotel Ramada Encore,0,0,3.9,120,Domlur,"Casual Dining, Bar","North Indian, Continental, Chinese, European",1700.0
Sreeraj Lassi Bar,1,0,4.0,120,Kammanahalli,"Dessert Parlor, Beverage Shop","Beverages, Desserts, Juices",150.0
BISO - Citrus Hotels,0,0,3.0,120,Bellandur,Casual Dining,"North Indian, Italian, Chinese, Asian",1000.0
Sagar Samrat,1,0,3.7,120,New BEL Road,Casual Dining,"North Indian, Chinese, South Indian",400.0
Naachiyar's,1,0,3.9,120,Ulsoor,Casual Dining,Chettinad,600.0
Ilyazsab The House Of Chicken,1,0,4.0,120,BTM,Quick Bites,"Rolls, Kebab",250.0
The Terminus - The Oterra,0,1,4.0,119,Electronic City,Lounge,"Finger Food, Continental",2500.0
McDonald's,1,0,3.9,119,MG Road,Quick Bites,"Burger, Fast Food",500.0
Natural Ice Cream,0,0,4.1,119,Frazer Town,Dessert Parlor,"Ice Cream, Desserts",150.0
Mr. Chef,1,0,3.2,119,New BEL Road,Casual Dining,"North Indian, Chinese, Biryani",500.0
Biting Junction,1,0,3.9,119,Whitefield,Quick Bites,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",350.0
Just Shawarma,1,0,3.7,119,Kammanahalli,Quick Bites,"Arabian, Fast Food",300.0
REFUEL,1,0,3.7,119,Marathahalli,"Takeaway, Delivery","Chinese, North Indian, Fast Food",300.0
